1 input_test.asc  Three-stage rocket ascent ' SLV1 ' Oct 14 2018 11:06:30
  0  0 90
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           UTBC1           
UTBC2           UTBC3           lamd            waclp           zaclp           
paclp           alcomx_actual   ancomx_actual   wacly           alcomx          
ancomx          wnact           delax           delex           delrx           
modes           ucbias_error    ucfreq_error    SXH1            SXH2            
SXH3            VXH1            VXH2            VXH3            CXH1            
CXH2            CXH3            std_pos         std_vel         std_ucbias      
URIC1           URIC2           URIC3           etax            zetx            
20              82              57              -2.25549        -2.25549        
1.50506         0               0               1.50506         0               
0               0.439964        0.439964        -1.26929        -0.303091       
0.543183        74.517          -81.1656        0.000130744     0.000158724     
3.3652e-05      -4.87675        0.987701        -9.97633        0               
0               0               0               0.307907        1               
1.01581         0               -0.15           0.307907        0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0.0716981       -0.00168251     
14              0.889621        43677.8         -80.9967        73.2653         
0.406555        1.51585         180             -2.15339        -0.320484       
-0.616444       -1.21154        0.116909        -120.495        34.6805         
2068.61         295.703         421.445         -82.2077        75.4138         
440.199         -2.82339e-05    -0.0453784      0.237688        41785.3         
9.65946         7198.69         1.40763e+06     23976.3         0.4             
20              82              57              -2.19982        -2.19982        
1.56877         0               0               1.56877         0               
0               0.474333        0.474333        -2.14915        -0.336652       
0.404418        73.2737         -80.9893        0.000128744     0.000160294     
3.28792e-05     -4.85512        0.99156         -10.0343        0               
0               0               0               0.327583        1               
1.05517         0               -0.15           0.327583        0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               -0.46159        -0.000470943    
14.5            0.924202        46292.9         -80.8072        72.7476         
0.296504        1.73493         180             -2.28593        -0.351079       
-0.512887       -1.21723        0.117332        -120.495        34.6806         
2214.22         306.663         425             -82.1194        75.0277         
478.617         -3.42105e-05    -0.035364       0.258433        41528.3         
9.62838         7455.74         1.40763e+06     23719.3         0.4             
21              82              57              -2.23833        -2.23833        
1.62915         0               0               1.62915         0               
0               0.509439        0.509439        -2.28169        -0.367596       
0.294455        72.756          -80.7994        0.000127598     0.000161054     
3.27916e-05     -4.83244        0.995645        -10.0953        0               
0               0               0               0.347196        1               
1.09439         0               -0.15           0.347196        0               
-0.15           0               0               0               0               
533             0.14755         0               0               0               
0               0               0               0               0               
