1 insat2: 1 missile vs 2 target with 2 passive satellites  ' Missile_c1 ' Mar  5 2016 14:33:23
  0  0 47
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          
0.862241        14.837          35.4            7429.03         267.723         
90.0529         -10.7491        3.43611         12419           2570.97         
-0.243031       263.025         49.9328         5               135.429         
199.939         6.49745         90              0               0.992944        
0               3.05156         -0.266012       -0.268838       -0.266012       
0.0307137       1.71735         0.0532597       0.993156        -0.00233184     
-0.00457964     -49.9328        7000            5706.58         0               
0               0               0               0               0               
0               0               
54              -1.27616        -0.0459293      -9.67098        20302.9         
0.863464        14.8399         35.4            7379.1          268.283         
90.0531         -10.725         3.19244         12682.3         2620.9          
-0.244146       263.596         49.9261         5               135.428         
198.35          6.37863         90              0               0.992655        
0               3.03298         -0.272436       -0.275406       -0.272436       
0.030687        1.70667         0.0529355       0.992464        -0.00238813     
-0.00468808     -49.9261        7000            5443.58         0               
0               0               0               0               0               
0               0               
55              -1.30353        -0.0470374      -9.66398        20500.5         
0.864583        14.8428         35.4            7329.17         268.81          
90.053          -10.7023        2.94817         12946.1         2670.83         
-0.244227       264.134         49.9195         5               135.427         
196.762         6.26868         90              0               0.992047        
0               3.01302         -0.27922        -0.282348       -0.27922        
0.0306633       1.69606         0.0525872       0.991793        -0.00244682     
-0.00480111     -49.9195        7000            5180.01         1               
0               0               0               0               0               
0               0               
56              -1.32956        -0.0481953      -9.65729        20695.1         
0.865602        14.8458         35.4            7279.26         269.307         
90.0527         -10.6813        2.70435         13210.5         2720.74         
-0.243218       264.641         49.9148         5               135.426         
195.174         6.16779         90              0               0.991461        
0               2.99292         -0.286294       -0.289525       -0.286294       
0.030654        1.68551         0.0522363       0.991311        -0.00250753     
-0.00491922     -49.9148        7000            4915.93         1               
0               0               0               0               0               
0               0               
57              -1.3544         -0.0493934      -9.65235        20886.6         
0.866528        14.8487         35.4            7229.34         269.775         
90.0521         -10.6617        2.46211         13475.4         2770.66         
-0.24107        265.118         49.9109         5               135.425         
193.586         6.07564         90              0               0.991045        
0               2.97314         -0.293561       -0.296873       -0.293561       
0.0306457       1.67501         0.0518911       0.990919        -0.0025701      
-0.00504144     -49.9109        7000            4651.35         1               
0               0               0               0               0               
0               0               
58              -1.37801        -0.0506286      -9.64828        21075.4         
