1 input19_3_3.asc: Ascent frome Cape, glidelsope and seeker intercept ' Hypersonic Vehicle ' Mar 14 2016 14:48:33
  0  0 96
time            vmach           pdynmc          psibd           psibdx          
thtbdx          phibdx          alppx           alphax          betax           
alphaix         betaix          ppx             qqx             rrx             
lonx            latx            alt             dvbe            dvbi            
psivdx          thtvdx          dbi             ayx             anx             
throttle        vmass           fmassr          thrustx         roll_count      
pitch_count     yaw_count       stmarg          gavail_pos      gmax            
gavail_neg      gminx           wnp             azabx           elabx           
dab             ddab            semi_major      semi_minor      eaz             
eel             edab            eddab           RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           aycomx          
azcomx          tgoc            SBTHC1          SBTHC2          SBTHC3          
UTBC1           UTBC2           UTBC3           lamd            SBTL1           
SBTL2           SBTL3           delacx          delecx          delrcx          
alcomx          ancomx          phicomx         delax           delex           
delrx           miss            MISS_I1         MISS_I2         MISS_I3         
event           dbt             MISS_H1         MISS_H2         MISS_H3         
MISS_L1         MISS_L2         MISS_L3         SXH1            SXH2            
SXH3            std_pos         std_ucbias      URIC1           URIC2           
URIC3           
424002          5.39023e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
19              1.07814         57868.4         0.682014        39.0765         
5.07178         0.0990154       1.97413         1.99029         0.00146923      
3.22414         27.191          -0.000183097    -0.0106618      0.00402492      
-75.5428        30.2282         2888.65         354.739         683.693         
39.0746         3.08147         6.37567e+06     0.000135065     0.985893        
1.21218         134049          79618.3         2766.54         0               
0               0               0.0185115       2.08359         3               
-2.91641        -2              2.97948         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00170577     -3.92211        0.0163568       
0               0               0.0982715       -0.00170561     -3.91865        
0.0163556       0               0               0               0               
424002          5.38371e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
20              1.07944         57868.5         0.682104        39.0817         
5.06784         0.0991965       1.97563         1.99184         0.00147177      
3.22268         27.1746         -0.000183083    -0.00331983     0.00403013      
-75.5405        30.2307         2907.71         355.086         684.009         
39.0798         3.07595         6.37569e+06     0.000135571     0.984542        
1.21337         133963          79531.9         2766.43         0               
0               0               0.0185239       2.08504         3               
-2.91496        -2              2.97689         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00171155     -4.01259        0.0164034       
0               0               0.0984503       -0.00171139     -4.01142        
0.0164021       0               0               0               0               
424002          5.37718e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
21              1.08075         57868.6         0.682195        39.0869         
5.06979         0.0993785       1.98065         1.99681         0.00147491      
3.22567         27.1581         -0.000183708    -0.00012523     0.00403567      
-75.5382        30.2332         2926.77         355.434         684.326         
39.085          3.07297         6.3757e+06      0.000136031     0.987359        
1.21452         133877          79445.5         2766.51         0               
0               0               0.0185305       2.08244         3               
-2.91756        -2              2.97425         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00171788     -4.01106        0.0164547       
0               0               0.0986296       -0.00171769     -4.01186        
0.0164532       0               0               0               0               
424002          5.37066e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
22              1.08206         57868.7         0.682287        39.0921         
5.07256         0.0995608       1.98318         1.99932         0.00147803      
3.22757         27.1417         -0.000183926    -0.000996184    0.00404145      
-75.5359        30.2357         2945.83         355.783         684.642         
39.0902         3.07325         6.37572e+06     0.000136616     0.988318        
1.21571         133790          79359.2         2766.47         0               
0               0               0.0185415       2.08161         3               
-2.91839        -2              2.97165         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00172449     -3.9794         0.0165083       
0               0               0.098809        -0.0017243      -3.98016        
0.0165068       0               0               0               0               
424002          5.36413e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
23              1.08337         57868.7         0.682378        39.0974         
5.07422         0.0997436       1.98433         2.00049         0.00148101      
3.22822         27.1253         -0.000183893    -0.00191895     0.00404722      
